id,company_name_kor,company_name_eng,homepage,company_description,products,products_description,category
11,연향,Yeonhyang,www.hermeticart.co.kr,맛과 향을 디자인하는 푸드테크기업,에르메틱아트 프리미엄 블렌드 티,맛과 향을 구현하는 기술을 적용하여 관능적 요소를 극대화한 블렌드 티,"음료 (커피, 차, 주스, 탄산음료, 에너지 드링크, 이온음료 외)"
12,(주)이너프유,enoughU Inc.,enoughbox.shop/,"이제 이유식이 쉬워집니다.
누구나 10분 만에 3끼 이유식을 간편하게 만들 수 있는 밀키트를 만들고 있습니다.",이너프 이유식,"냄비, 밥솥을 활용하여 10분 만에 3끼 이유식을 만들 수 있는 밀키트 간편식 입니다.
초/중/후/완료기 4단계별 총 117종 메뉴를 보유하고 있습니다.","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
13,디지아이,DGI,https://kr.dgi-net.com/,잉크젯 디지털 프린터 전문 기업,스위트 박스,국내 유일의 푸드프린터,"식품 기계/설비 (식품제조/가공기계, 식품포장/라벨기계, 스마트 위생/안전설비 외)"
14,주식회사 에이이에이씨바이오,aeacbio,https://aeacbio.com/,"aeacbio는 all eat, all care. 의 약자이며  모두가 먹을 수 있고 모두를 케어하는 제품과 서비스를 제공하겠습니다. 라는 슬로건 아래 운영되고 있습니다. 
현재는 커피 껍질인 실버스킨(silver skin)을 식물성 단백질 대체제로 개발하여, aeac balance라는 포뮬러 형태의 제품 출시를 앞두고 있으며 이와 함께 AIoT기반 퍼스널 스킨케어 솔루션 BeautIT을 개발하고 있습니다. ",aeac balance,"aeac balance : 커피 껍질인 실버스킨(silver skin)을 활용한 식물성 단백질 포뮬러로 기존 콩 단백질과는 달리 알러지 없이 섭취가 가능하며, GMO문제 없이 건강한 하루 단백질과 비타민, 유산균을 한번에 채울 수 있습니다. ","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
15,브루어리 을를,brewery eulreul,https://naver.me/FFSWb1Si,이천의 요골마을에서 진정한 크래프트 정신을 담은 맥주를 생산합니다. ,수제맥주,이천의 요골마을에서 진정한 크래프트 정신을 담은 맥주를 생산합니다. ,"주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
16,농업회사법인 주식회사 공사사양조,044DISTILLERY,https://044yangjo.com/,공사사양조는 100% 세종시 쌀로 만든 조청을 사용하여 프리미엄 증류주 '삭'을 만들고 있습니다.,삭,조청발효 증류주,"주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
17,기어스컴퍼니,Gears' Company,www.sweetieimpact.imweb.me,지역 특산물을 글로벌 간식으로 만드는 브랜드입니다.,레몬마미캔디,"인공향 없이, 레몬과 예천 생강을 원물 그대로 가공하여 넣은 레몬생강캔디.","간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
18,주식회사 신명나는파티,sin myoung na noon party,www.2any1.com,"저희 회사는 베트남으로 질 좋은 열대과일을 최저 가격으로 최적화된 조건을 통해 직접 수입합니다. 그러기 위해 저희는 베트남 오지를 직접 찾아다니며 아직도 제대로 알려지지 않은 최고의 과일을 발굴, 우리나라 소비자에게 단독으로 공급합니다. 저희가 직접 수입하는 과일은 망고를 비롯해 바나나, 패션 푸르츠, 용과 등은 물론 최근 우리나라 젊은이들이 선호하는 두리안까지 거의 모든 과일을 취급하고 있습니다. 향후 저희 회사는 이러한 신선하고 질 좋은 과일을 매장을 통해 직접 공급하기 위해 새로운 브랜드를 개발하여 소비자를 직접 만나게 될 것입니다.",날라망고,"날라망고는… 
        높은 당도, 부드러운 육질, 달콤한 향기까지 !

베트남 남서부에 위치한 안쟝(An Giang) 오지에서 헌팅한 망고.
국내 기업과는 한 번도 교류한 적이 없는 미지의 농장 산물
일반적으로 잘 알고 있는 ‘께오망고(Xoai Keo)’가 아닌, 망고의 왕자 ‘화록(Hoa Loc)’과  베트남 현지에서 가장 인기 있고 ‘황금 모래 망고’로 불리는 ‘카츄망고(Xoai Cat chu)’ 중 당도가 17~22Brix인 것만 선별
4. 망고에는 베타카로틴, 식이섬유, 비타민C, 펙틴 성분 등 우리 몸에 좋은 영양소를 듬뿍 함유 (노화 방지, 항암 효과, 피부 미용에 탁월)","수입 일반 가공식품 (수입 캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
19,주식회사 해담,HAEDAM,https://smartstore.naver.com/lovemarine,"**러브마린(Love Marine)**은
강원도 속초의 청정한 바다에서 영감을 받아 탄생한
프리미엄 해산물 식품 브랜드입니다.

우리는 매일 새벽 바다에서 건져 올린 싱싱한 홍게와 해산물을
직접 손질하고 정성껏 가공하여,
누구나 집에서 간편하게 즐길 수 있는
밀키트와 조미료, 가공식품으로 선보입니다.

러브마린의 모든 제품은

신선한 해산물 본연의 깊은 맛

건강하고 깔끔한 레시피

간편하지만 특별한 한 끼의 경험

을 담아,
소중한 가족과 함께하는 식탁을 더 맛있고 특별하게 만듭니다.",홍게라면 밀키트,홍게한마리 통쨰로 들어간 프리미엄 밀키트,"간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
20,주식회사만풍농업회사법인,"MANPOONG CO.,LTD.",https://brand.naver.com/ricepieorg,"	
떡미당은 맛미(味)에 집당(當)을 써서 사용하는 자연주의 착한떡집입니다.
지금으로부터 약 30여년 전 ‘태광떡집’이라는 도봉구의 작은 떡집을 시작으로 2대째
그 전통을 유지하며 이어온 떡집입니다. 30년간의 노하우로 만들어진 기술력과 HACCP 인증 생산 시설에서 제조한 당사의 독자적인 기술을 바탕으로 소비자의 건강
과 미각을 모두 만족시키는 제품을 개발 및 생산하는 것이 목적입니다.",앙버터절편,한국 전통 식품중인 떡! 그 중 가장 보편화된 절편에 고운 적팥앙금을 넣고 요즘 많이 인기재료인 버터까지 넣어 앙버터절편을 만들었습니다. 프랑스산 최고급 버터를 넣어 버터풍미가 가득하고 버터의 느끼함은 부드러운 적팥앙금이 잡아줘 남녀노소 어른아이 할 거 없이 다 좋아하는떡입니다.,"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
21,한국농업기술진흥원,Korea Agriculture Technology Promotion Agency,https://www.koat.or.kr/,"농업과학기술 분야 연구개발성과의 신속한 실용화 촉진을 통하여 농업과학기술 연구개발사업의 경제적 파급효과를 극대화 하고, 농업인의 소득증대 및 농식품산업의 고부가가치 창출을 지원하여 산업진흥에 기여하기 위해 설립되었습니다.",식품 기술거래이전 지원사업 및 건강기능식품 등 10종,식품 기술거래이전 지원사업 및 건강기능식품 등 10종,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
22,(사)대한민국식품명인협회,Korean Food Grand Master,http://kfgm.co.kr/,정부에서 지정된 전통식품의 대한민국식품명인 분들의 제품 전시 홍보,대한민국식품명인 지정 제품,식품산업진흥법 대한민국식품명인제도에 의해 지정된 명인제품,
23,(주)다담,DADAM,http://www.dadam-food.com/,"㈜다담은 국밥 프랜차이즈 무보까국밥을 시작으로 2015년에 설립된 식육추출가공,양념육 전문 기업입니다. 우리 회사는 국내 최초, 최대 규모의 가마솥 방식 직화 가열솥을 10톤 사이즈로 자체 개발하여  프리미엄 육수의 대량제조 시장을 개척하였습니다. 국내산 우육/돈육 가공 및 상품 자체 생산으로 국내 제품 유통， 전국 프랜차이즈 매장에 육수 및 축산가공품을 납품하고 있습니다.  우리는 한식의 질적 성장 및 세계화의 사명을 가지고 최상 품질의 육수제조 시스템을 구축하였습니다.
",직접국밥,"한우사골육수와 한돈을 사용하여 만든 국밥으로, 온라인에서 3천원대 초저렴 가성비 국밥으로 최근 많은 인기를 얻고 있습니다. ","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
24,(주)해청정,"HAECHEONGJEONG CO., LTD",haechomiin.com,"㈜해청정은 1997년 설립 이후 청정바다 완도의 다시마, 미역과 국내산 대두(콩)을 주재료로 건강한 자연의 맛을 그대로 고객에게 전하기 위해 힘써왔습니다. 
해청정의 특허기술로 국내 최초 100% 원재료를 살려 밀가루, 전분이 전혀 들어가지 않는 다시마면, 미역면, 두부면 개발에 성공했습니다. 
이제는 명실공히 식품가공전문회사로서 새로운 식품문화를 선도해 나가고 있습니다.",해초미인 두부면,"1. 어디서나 삶지않고 간편하게 바로 드실 수 있는 면
2. 글루텐프리 (인증), 비건 (인증)
3. 5 無 : 밀가루 無, 전분 無, 색소 無, 향신료 無, 보존제 無
4. 100% 국내산 대두(콩)로 만든 칼슘, 식이섬유가 풍부한 웰빙 두부면
5. 27 Kcal / 180g / 1인분","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
25,농업회사법인(주)한국흑삼공사,"Korea Black Ginseng Co., Ltd",없음,"2015년 9월 2일 법인 설립 만 10년이 된 기업으로 ""흑관장""이라는 브랜드로 흑삼을 전문적으로 제조 판매하는 회사이며, 베트남, 캄보디아, 인도, 미국, 호주, 러시아에 수출을 하고 있으며, 수출을 위한 각 나라에 상표등록과 HACCP, FDA, VEGAN, HALAL, ISO22000, FSSC22000등을 인증 받았고 국내 상표등록 12개 출원 34개를 진행중임.","흑관장 흑삼정, 흑녹삼 골드, 흑삼 정과, 흑녹삼 헬스데이.","구증구포 흑삼을 주원료로 사용하여, 흑삼정은 흑삼 100%농축액이며, 흑녹삼 골드는 흑삼과 녹용, 한약재를 이용한 240g 병으로 된 농축액임.
흑삼 정과는 흑삼을 만들어 당을 첨가하여 만든 제품이며, 흑녹삼 헬스데이는 흑삼과 한약재를 이요한 스틱제품임.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
26,주식회사 아란푸드랩,ARANFOODLAB,https://m.site.naver.com/1yff8,"“맛과 건강, 그리고 이야기를 담은 새로운 떡” 
아란푸드랩은 전통 떡의 가치를 지키면서도 저당·고단백·프리미엄 디저트로 혁신하는 푸드테크 기업입니다. 
누구도 가보지 않은 길을 개척하며, 예술과 협업·지역 농산물 활용·기능성 식품 연구를 통해 한국 떡을 세계적인 디저트로 발전시키고 있습니다 ",떡이당 × 어메이징 아웃사이더 콜라보레이션 4종 (꿀유자/견과류/쑥앙금/흑임자),"꿀처럼 달콤한 유자, 고소한 견과류, 숲 향 가득한 쑥, 깊고 담백한 흑임자까지. 
네 가지 풍미를 아웃사이더 아트의 감성과 함께 담아낸 특별한 프리미엄 떡 패키지! 
예술과 맛이 만나 선물이 더 가치로워지고, 일상 속 작은 힐링 간식으로도 완벽합니다. ","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
27,(주)케이제이바이오,KJBIO Corp.,https://smartstore.naver.com/bodymine,"주식회사 케이제이바이오는 건강식품 연구·개발과 유통을 전문으로 하는 기업입니다. 원물 중심의 차별화된 제품 기획과 홈쇼핑·온라인몰 판매 경험을 바탕으로 꾸준히 성장해 왔으며, 2025년 신규 브랜드 ‘플러스푼(PLUSPOON)’을 런칭해 일상에서 간편하게 즐길 수 있는 제품군을 선보이고 있습니다. 대표 제품 ‘플러스푼 리얼 양배추 발효효소’는 국산 양배추를 직접 발효해 만든 효소식품으로, 발효의 장점과 양배추 고유의 영양을 함께 담았습니다. 앞으로도 지속적인 연구개발과 글로벌 시장 확장을 통해 건강식품 분야에서 경쟁력을 강화해 나가고자 합니다.",플러스푼 리얼양배추발효효소,"플러스푼 리얼 양배추 발효효소는 100% 국산 양배추를 직접 생균 발효해 만든 효소식품입니다. 발효의 이점으로 흡수력을 높이고 속 부담을 줄였으며, 독자개발원료인 케이제이바이오자임 양배추발효효소와 양배추추출분말을 함께 배합해 발효의 장점과 원물의 영양을 동시에 담았습니다. 과채 베이스와 파인애플 풍미로 남녀노소 부담 없이 즐길 수 있습니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
28,주식회사 미트앤퓨쳐,"Meat and Future Co., Ltd.",https://makers.kakao.com/items/100106722,"미트앤퓨쳐는 음식점들을 대상으로 고기의 유통마진을 개선하는 육류 가공, 유통 푸드테크 기업입니다. 15년 이상 연구한 특허받은 숙성기술로 해동했을 때 일반육처럼 맛있는 냉동육을 제조하여 돼지 고기가 품질은 떨어지면서 가격은 올라가는 여름에도 안정적인 퀄리티와 가격에 고기를 공급할 수 있습니다.","에어프리징 삼겹살, 목살",15년 이상 연구한 특허받은 숙성기술로 해동했을 때에도 일반육처럼 맛있는 숙성육,"신선식품 (과일, 채소, 축산, 수산 원물)"
29,해나루빠삭뽀삭부각,Hanaru crunch crispy bugak-Seaweed Chips,kor.banditbul.kr,"해나루 빠삭뽀삭 부각은 장애인과 취약계층의 일터로 자리잡고 있습니다
서해안의 해풍을 맞고 자란 당진 해나루 찹쌀로 빚은 전통 수제 찹쌀 부각을 만들고 있습니다
판매수익금은 장애인들과 취약계층을 위해 쓰여 지고 있습니다
신뢰 높은 당진의 대표 농 수산물  브랜드인 해나루 인증과 사회적 기업 인증, 농촌 융복합 산업인 6차 산업 인증, 식품안전 관리 체계인 HACCP을 받았습니다.
우리 가족이 먹는다는 생각을 가지고 지역 농산물을 이용해서만 들었기에 믿을 수 있습니다.
",찹쌀김부각,"● 국내산 찹쌀과 지역 농수산물을 사용하여 전통 방식으로 만든 건강한 부각
● 바삭하고 고소한 식감, 남녀노소 누구나 부담 없이 즐길 수 있는 맛
● 인공첨가물 없이 재료 본연의 풍미를 살린 수제 간식
● 김, 미역, 다시마 등 다양한 해조류를 활용해 영양과 맛을 동시에 제공
● HACCP, 6차산업 인증 보유로 안심하고 먹을 수 있는 제품","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
30,농업회사법인 지에이치내츄럴(주),"Agricultural GH NATURAL CO.,LTD",www.ghnaturalf.com,GMP와ISO 규격을 획득한 최첨단 제조 시설로 효율적인 제조 공정과 완벽한 품질관리 효과적인 물류 시스템을 갖추고 있으며 풍부한 경험과 전문 지식을 갖춘 기술 인력이 요소에 배치되어 제품을 공급하기 위해 최선을 다하고 있습니다,홍삼정플러스,홍삼의 전통과 노하우로 6년근 홍삼을 진하게 달여 만든 농축액으로 만들어 피로하고 면역력 증진이 필요하신 분들게 활력을 더해드립니다,"건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
31,프리잇,Freeat,없음,당뇨관리자와 다이어터를 위한 저당 저지방 에그타르트를 만드는 일을 하고 있습니다.,무설탕 저당 저지방 에그타르트,설탕을 사용하지 않고 낮은 지방과 낮은 당류로 만든 에그타르트입니다,"간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
32,스퀴진,Squeezin,www.gimsauce.com,"Squeezin은 Squeeze(쭉 짜내다)+Cuisine(고급 요리)의 합성어로, 튜브를 쭉- 짜기만 하면 맛있는 한 끼를 만들어 주는 국내 최초 김소스 브랜드입니다. 엄선한 국산 돌김과 특제간장소스를 활용해 맞춤형 레시피로 만든 Squeezin의 소스들을 곁들이면 평범한 집밥도 살짝 더 근사한 요리가 됩니다. 바쁜 현대인들이 보다 손쉽고 빠르게 퀄리티 있는 한 끼를 먹을 수 있도록 돕는 식탁의 치트키 소스들을 개발합니다.",쭉 짜서 비벼 먹는 밥친구 김소스씨 ,"o 간장계란밥을 위해 태어났다! 남녀노소 모두 좋아하는 김과 간장을 결합한 감칠맛 폭발 소스로, 국내 최초 튜브형 김소스 
o 가열하거나 해동할 필요 없이 즉시 음식에 사용 가능해서 조리 시간 절약(바쁜 아침, 점심 한끼를 가볍게 뚝딱)   
o 밥, 면 같은 한그릇 요리 및 육류, 생선, 샐러드, 포케, 타파스 등 다양한 장르의 음식에 멀티로 쓸 수 있는 높은 활용도
o 100% 해남 돌김과 스퀴진만의 특제간장소스를 배합하고 졸여 만든 고농축 소스(특허)
o 1회 사용량(10g)당 스리라차보다도 낮은 열량과 당, 무지방 소스로서 다이어터, 유지어터, 저속노화 식단에 적합
(김소스씨 한 스푼(10g) 기준 열량 7.6kcal, 당 0.7g vs 스리라차 10kcal, 2g)
o HACCP 인증 받은 제조 시설에서 생산
o 식물성 재료 사용과 유제품 제로. 유당불내증이나 알러지 민감자, 채식지향자도 모두 안심하고 즐길 수 있는 소스
o 튜브형이어서 휴대와 보관이 용이하고 별도의 도구 없이 위생적 사용이 가능. 아웃도어(캠핑, 피크닉) 활동에도 적합","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
33,주식회사 세이브더팜즈,"SAVE THE FARMS Co., Ltd",www.savethefarms.kr,지속가능한 농업을 위한 자원순환 솔루션을 통해 건강한 먹거리를 만드는 주식회사 세이브더팜즈입니다.,바이오차,바이오차를 활용한 저탄소 농업솔루션,"대체식품/그린바이오 (대체식품/원료, 메디푸드, 지속가능 식품, 특수기능/가공/포장식품, R&D연구개발 외)"
34,푸로운,FOOROUN,https://smartstore.naver.com/buyguna,"나노기술기반 혈당관리 베이커리, 스프레드를 제조","KU림빵(땅콩 크림빵, 초코크림빵), 아침한톨 저당 초코, 말차 스프레드","연세우유 크림빵처럼 건국대학교 이름을 활용한 KU림빵 및 땅콩 베이스의 초코, 말차 저당 스프레드","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
35,잇 베지스,eat veggies,https://smartstore.naver.com/soyourmeal/products/11289675253, ‘우리콩’을 기반으로 건강하고 지속가능한 식물성 단백질 먹거리를 만드는 브랜드,"소이아워밀 우리콩 후무스, 국산콩 고단백 후무스","'소이아워밀 우리콩 후무스'는 국산 백태콩으로 단백질은 높이고, 
병아리콩 후무스 대비 지방과 염도는 절반으로 낮춰 건강한 식사를 하실 수 있습니다.","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
36,금산인삼협동조합,Geumsan Ginseng Cooperatives,www.k-insam.co.kr,"금산인삼협동조합은 생산단계부터 양질의 인삼만을 선별, 가공, 유통하는
직거래 조합으로 농림축산식품부로부터
2015년 농촌 융복합산업 (6차산업) 인증을 받은 경영체입니다.
HACCP 공장시설에서 생산하고 있으며, ISO 22000 국제 인증도 받았습니다.
인삼 년근제와 재배자 실명제를 도입하였고, 원료 인삼의 잔류 농약 및
안전성 검사를 비롯한 철저한 성분 검사를 통해 원재료에 대한 신뢰성을
확보하여 안전한 시설에서 제조하고 있습니다.",리얼진 홍삼칩,"특허받은 홍삼칩 제품은 기존 홍삼 제품들과 달리 간식처럼 남녀노소 누구나 먹을 수 있는 제품입니다.
홍삼 한 뿌리를 그대로, 시즈닝 칩 제형으로 개선하여 식감이 바삭하고 쓴맛 보다는 씹을수록 단맛이 나는 것이 특징입니다.
몸통, 다리, 뿌리 부분으로 나누어 취향에 따라 섭취하실 수 있습니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
37,술로우,soolow,www.soolow.kr,"술로우는 '천천히 공들여 만드는 술'이라는 철학을 담은 전통주 브랜드입니다.
술빚기 클래스와 함께 전통주, 지게미 카라멜, 술잔 등을 통해 전통주의 가치를 일상에 전하고 있습니다.",<술로우당> 막걸리 지게미 수제 카라멜,막걸리를 빚고 남은 지게미를 수제 카라멜에 접목한 업사이클링 식품. 특허출원 중.,"디저트/베이커리 (케이크, 푸딩, 빵/제과류, 초콜릿, 요거트/유제품 외)"
38,(주)백년농가,"centuryfarm, Inc.",https://trufflusmall.com/,"백년대계 좋은 작물을 만들기 위한 농부의 마음을 담아, 최고의 품질을 고집하며 
안심하고 드실 수 있는 상품을 만드는 곡류 유통전문판매원입니다. ",유기농 지리산 상황버섯쌀,"유기가공식품 인증 받은 단일 품종 친환경 프리미엄 상황버섯쌀
: 베타글루칸, 총 폴리페놀, 식이섬유 등 영양성분이 풍부하고 친환경 인증을 받은 프리미엄 상품
","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
